"iter","ll_batch","ll_full","dens_0","conn_0","conn_X1","conn_X2","g0_1"
1,-1116.92890608545,-973.464416549479,-0.980392156863562,-1.97058823529944,0.029411764658337,-0.0294117646959514,-4.98039215686355
2,-1098.27358942634,NA,-0.961162576301171,-1.94174643633803,0.0579828430351261,-0.0576838131986993,-4.96116176973295
3,-1068.51092897697,NA,-0.942297798112277,-1.91346359568686,0.0842350243896761,-0.0843025429561172,-4.94229378923998
4,-1088.76866920085,NA,-0.923785134692642,-1.88572186157762,0.110771093544377,-0.108125708052982,-4.92377697631291
5,-1057.39239605864,NA,-0.905612613361309,-1.85850544311173,0.137078973771951,-0.128367285610622,-4.90559986954892
6,-1070.61188174738,NA,-0.8877689234812,-1.83181665684519,0.163373090282373,-0.14815093812871,-4.88774522855458
7,-1031.0982819884,NA,-0.870243368448288,-1.80563589869841,0.189313868211006,-0.164414645417236,-4.87020708422415
8,-1032.37739264141,NA,-0.853025821258558,-1.7799653725463,0.213309360275519,-0.180480331260894,-4.8529738088714
9,-1012.19541979954,NA,-0.836106683984818,-1.75479412656691,0.23576036451202,-0.196918239887507,-4.83603340418983
10,-1000.83608249879,-881.279267667453,-0.819476851053319,-1.73009448184581,0.251628723531099,-0.212301044065241,-4.81938898106573
11,-998.547710164435,NA,-0.803127674367436,-1.70584806507682,0.264710688189108,-0.222021136421637,-4.80303235782551
12,-1001.26668390807,NA,-0.787050932761186,-1.68210062087086,0.275377515550375,-0.232123640027176,-4.78694105814084
13,-986.76402995573,NA,-0.771238804038832,-1.65879388381352,0.281532377257106,-0.23939130280373,-4.77111964806908
14,-961.549790729262,NA,-0.755683838676969,-1.6359544206748,0.28325309320326,-0.247680755581154,-4.75555160748993
15,-973.720546080825,NA,-0.740378936013972,-1.61354901792935,0.282815727709102,-0.25448571066073,-4.7402325057704
16,-960.341019369676,NA,-0.7253173222044,-1.59158893406544,0.280501541959986,-0.261220958974315,-4.72515070111749
17,-960.4009491851,NA,-0.710492529491657,-1.57001631043698,0.277993844744791,-0.264241372074246,-4.71030405756064
18,-965.079836389426,NA,-0.695898378237672,-1.54885572148865,0.275229397783356,-0.265245708450485,-4.69568360316301
19,-933.261849294593,NA,-0.68152895881822,-1.52811955009585,0.272145988813495,-0.267147985168191,-4.68127734909896
20,-938.549961033235,-800.020205315287,-0.667378614468424,-1.50780898337436,0.269578442324297,-0.269140480086194,-4.6670795347603
21,-927.89954289819,NA,-0.653441925849516,-1.48788905311862,0.267078827764068,-0.269507532545856,-4.65309230606603
22,-912.810033542138,NA,-0.639713697874324,-1.46844500374018,0.26699204084406,-0.271641498222356,-4.63929332740173
23,-902.60981736409,NA,-0.626188943381666,-1.44936693582336,0.265595983618711,-0.273826304600348,-4.62569628559456
24,-904.727917834878,NA,-0.612862873911464,-1.43071197769762,0.263901157043692,-0.279049192515871,-4.61228360142953
