"iter","ll_batch","ll_full","dens_0","conn_0","conn_X1","conn_X2","g0_1"
1,-1185.38543080161,-973.464416549161,-0.980392156863562,-1.97058823529951,0.0294117646870501,-0.0294117646973045,-4.98039215686355
2,-1161.68779799528,NA,-0.961162576301166,-1.94174589933139,0.0480320341453718,-0.0531811829254842,-4.96116275701115
3,-1149.91561555129,NA,-0.942297797696619,-1.91346055957141,0.0707343665313399,-0.0742570961330344,-4.94229663965844
4,-1149.12117455555,NA,-0.923785133250051,-1.88570738153722,0.0780218788724591,-0.0907222986803971,-4.9237862713574
5,-1139.77624311394,NA,-0.905612608651035,-1.85849301146789,0.090131253178689,-0.107789271670108,-4.90561057745082
6,-1118.12427063006,NA,-0.887768912407925,-1.83178873456339,0.105443928867794,-0.124590976406982,-4.88776063437422
7,-1108.90837730807,NA,-0.870243347544523,-1.80558638534998,0.122239035159294,-0.139869772373005,-4.87022695204978
8,-1115.18850360741,NA,-0.853025787324766,-1.77987813636111,0.140970501682453,-0.155197901844972,-4.85299605161279
9,-1093.27672382984,NA,-0.836106635071727,-1.75462643944733,0.154836382648996,-0.16651146732569,-4.83607049883762
10,-1092.53551480632,-881.463699566568,-0.819476786377562,-1.72986585218992,0.169876652150902,-0.178823517232109,-4.81942547887154
11,-1077.68341313716,NA,-0.803127596002925,-1.7055885970508,0.183504269478266,-0.192407016074914,-4.80305468456218
12,-1064.3769737662,NA,-0.787050846165743,-1.68176884870335,0.195201065178504,-0.204538663543852,-4.78695466953507
13,-1075.59551986402,NA,-0.771238718037,-1.65844510058548,0.206895327179061,-0.218663530682301,-4.77110658053936
14,-1062.54053132097,NA,-0.755683765022955,-1.63556229317444,0.215790976190675,-0.233817463287235,-4.75551192163166
15,-1049.84444975161,NA,-0.740378888468863,-1.61307931975665,0.219982815103028,-0.244439580664406,-4.74017815537183
16,-1031.69611683038,NA,-0.725317316017537,-1.59101188405028,0.221652728952024,-0.253646056393192,-4.72508664908297
17,-1024.62301709373,NA,-0.710492581126043,-1.56935705896758,0.218558837548738,-0.262240571658089,-4.71023510458961
18,-1014.90090414149,NA,-0.695898503578744,-1.5481229608425,0.211816108492214,-0.271723213795497,-4.69561158917381
19,-1024.89584661227,NA,-0.681529171284497,-1.52729175639508,0.20368893651805,-0.280956741228138,-4.68120801177436
20,-1015.28271756267,-799.778940678198,-0.667378924439557,-1.50682706859371,0.197466628309392,-0.285520082279678,-4.66702531715016
21,-1003.22869801073,NA,-0.653442343349144,-1.48670076713405,0.192374682745939,-0.285057737103951,-4.65306174603985
22,-987.660794644958,NA,-0.639714235801429,-1.46693738601113,0.185987359820903,-0.283054158203359,-4.63930614428143
23,-982.040652315712,NA,-0.626189621704336,-1.44750762781346,0.178800355804503,-0.278287349250261,-4.62575945803027
24,-983.656802839718,NA,-0.612863722433448,-1.42847635981175,0.175983750232466,-0.272311555907869,-4.61239943080083
25,-984.151226539641,NA,-0.599731947462413,-1.40972947911623,0.171794761316256,-0.263585328041842,-4.5992412435293
26,-955.903946405803,NA,-0.586789887141503,-1.39146825292807,0.168629856815913,-0.258618516404301,-4.58625172529475
27,-966.521250894708,NA,-0.574033292246895,-1.37359272717249,0.170184092327707,-0.253242370156801,-4.57343524530775
28,-972.951417497404,NA,-0.561458070603355,-1.35610729116272,0.174805703809326,-0.24805523792413,-4.56078958918436
29,-931.628622982087,NA,-0.549060277280793,-1.33897835822862,0.179763812100203,-0.24249881477801,-4.5483140675232
30,-922.380924069049,-733.183446912462,-0.536836108731377,-1.32223844687909,0.187081902646909,-0.237008308710603,-4.5359996781113
31,-937.990928543943,NA,-0.524781893059287,-1.30587337161137,0.194488198203971,-0.232616870836216,-4.52384705180561
32,-925.23142196733,NA,-0.512894082466976,-1.28989292468328,0.199421023015309,-0.231616631195376,-4.51185143940724
33,-928.627550248359,NA,-0.501169245294969,-1.27420485504201,0.202443993602467,-0.229928861530516,-4.50001807245147
34,-909.402881865971,NA,-0.489604068343031,-1.25884164841237,0.205207610348567,-0.227871005422816,-4.48834143626958
35,-912.005606397222,NA,-0.478195348462624,-1.24389810201519,0.209583944104383,-0.228205460299672,-4.47680406553196
36,-907.865288026183,NA,-0.466939979223967,-1.22928773060555,0.214148335901209,-0.228845272907789,-4.46541502635276
37,-896.896880629369,NA,-0.455834952414017,-1.21503059317226,0.217607081888735,-0.231818430437981,-4.4541701744394
38,-895.163386836879,NA,-0.444877350461384,-1.2010625573618,0.21912631373738,-0.23519140241418,-4.44307206976633
39,-894.959497269717,NA,-0.434064348408877,-1.18734874511563,0.221279301882697,-0.236447417326318,-4.43212116620898
40,-884.354055605154,-678.563975414574,-0.423393212236299,-1.1739262353211,0.223729803377249,-0.236952013182457,-4.42130977136457
41,-871.432047403853,NA,-0.412861291695034,-1.16080541252828,0.225472154328183,-0.238168206261092,-4.41063610710174
42,-869.402529751882,NA,-0.402466014182346,-1.14806221424696,0.226233962346723,-0.242507711929515,-4.40009083709237
43,-866.278125747197,NA,-0.392204874175967,-1.13552053223707,0.223780633167212,-0.246819845569073,-4.3896876181686
44,-885.151393700903,NA,-0.382075445401523,-1.12326240856149,0.22047443625132,-0.251946491218611,-4.37941250527286
45,-857.632338033013,NA,-0.372075369623483,-1.11118418759719,0.216008707998291,-0.254915284748424,-4.36927476955587
46,-860.12716792742,NA,-0.362202364734506,-1.09928502389304,0.209180820510689,-0.257463498440843,-4.35927215647457
47,-884.017571530604,NA,-0.352454218236178,-1.08749245648622,0.202602632338271,-0.255804681218237,-4.3494068373106
48,-833.46561817788,NA,-0.342828794298218,-1.07597877681752,0.195409916015335,-0.2548618737942,-4.33966137802712
49,-828.37931679555,NA,-0.333324011668552,-1.06474348108767,0.187459700349795,-0.255414555541888,-4.33003120488166
50,-837.635211041664,-633.167590120007,-0.323937839086947,-1.05363678430194,0.177831753018502,-0.254674922169029,-4.32052996665034
51,-826.873469520487,NA,-0.314668307874828,-1.0428045082589,0.17089241640891,-0.253491204943031,-4.31113604410834
52,-825.684590548557,NA,-0.305513497018651,-1.03232517345135,0.164894950015088,-0.254805819448802,-4.30184568397197
53,-821.911447643287,NA,-0.29647151985999,-1.0220367399405,0.157963516273701,-0.255833830717142,-4.29267093143967
54,-817.462177967629,NA,-0.287540541230685,-1.01195003814954,0.150867967428298,-0.256512444671987,-4.28361136876592
55,-831.04786252915,NA,-0.278718773722326,-1.00207480241154,0.143848809180484,-0.256884150749119,-4.27465971397646
56,-815.568187219981,NA,-0.270004475877777,-0.992416055054902,0.136267480158816,-0.257869266116175,-4.26581697425241
57,-799.707152195674,NA,-0.261395946079785,-0.983079424250287,0.129984363690739,-0.261023148022888,-4.25707086308493
58,-798.330528883543,NA,-0.252891508457277,-0.973849148199735,0.124998188884648,-0.261662511579173,-4.24843909928747
59,-807.748023213515,NA,-0.244489541809186,-0.964728441425263,0.121282389980084,-0.260805969451101,-4.23991895441656
60,-793.808490962679,-595.668726191768,-0.236188472415771,-0.955831289599753,0.118322772555962,-0.260117008185973,-4.23150183890152
61,-796.279686388189,NA,-0.227986760372507,-0.947167175233961,0.114727479649051,-0.26074545968472,-4.2231813314198
62,-801.427609405911,NA,-0.21988289400476,-0.938791063314403,0.112506995532118,-0.262940833156496,-4.21495390595501
63,-800.838171339343,NA,-0.211875383364024,-0.930632339831502,0.109686321373298,-0.265865561846267,-4.20682446791947
64,-789.749792638215,NA,-0.203962768410583,-0.922675119312582,0.107541365987323,-0.269527715440538,-4.19878465161937
65,-788.430721213452,NA,-0.196143618386645,-0.914808187806931,0.103861163186191,-0.271993392321227,-4.19084872799446
66,-800.016624421222,NA,-0.188416546828123,-0.907112591421216,0.0992845344262582,-0.274440861532787,-4.18300898831904
67,-776.773533512029,NA,-0.180780198822038,-0.899624749823914,0.0968273133200515,-0.277141967194094,-4.17525873629056
