"iter","ll_batch","ll_full","dens_0","conn_0","conn_X1","conn_X2","g0_1"
1,-1109.81923797424,-973.228534317203,-0.980000000000833,-1.97000000000542,0.0299999999790188,-0.0299999999814719,-4.98000000000082
2,-1099.13091037588,NA,-0.960001261789047,-1.94000444462126,0.0571011649816931,-0.0492223152284297,-4.96000152268099
3,-1093.44137737864,NA,-0.940004703092073,-1.91002501716576,0.0853527621399033,-0.0718922845170116,-4.94000311378967
4,-1062.94899134892,NA,-0.920011300747917,-1.88006658969316,0.114292781580983,-0.0969406972465392,-4.92000477349221
5,-1066.48753941653,NA,-0.900022092830421,-1.85013974602697,0.131758333185505,-0.122947307778288,-4.90000840183735
6,-1052.73688075457,NA,-0.880038179001724,-1.82025372916448,0.152913730125232,-0.147262307024761,-4.88001265680185
7,-1021.6442979496,NA,-0.860060724202356,-1.79041015849853,0.174590813471488,-0.167690506495924,-4.86002365155072
8,-1026.3746692918,NA,-0.840090959489309,-1.76062774201558,0.193860469510319,-0.187970051545834,-4.84004024060325
9,-1006.9129756518,NA,-0.820130183449952,-1.73094621604226,0.214098626594249,-0.209178880791785,-4.82005526939827
10,-990.307698678411,-870.692246229449,-0.800179764516861,-1.70133747925623,0.233737390791768,-0.226989907222854,-4.80007925742559
11,-1000.48128256693,NA,-0.780241142428397,-1.67182002643477,0.249388870736367,-0.244688172440188,-4.78011130442417
12,-970.910884884463,NA,-0.760315829966975,-1.64239556959624,0.256618948897943,-0.261244849384049,-4.76016158836096
13,-969.041199599074,NA,-0.740405414759252,-1.61307173272014,0.26369296128051,-0.270234358739478,-4.74022931096864
14,-986.994613080379,NA,-0.72051156385099,-1.58393193184355,0.268250640146708,-0.282405273460764,-4.72029528273083
15,-941.669938610506,NA,-0.700636024869145,-1.55498472286393,0.267200190382378,-0.296946674519307,-4.70036873903281
16,-940.346008822703,NA,-0.68078062759773,-1.52617445421916,0.264180375744346,-0.305283307625971,-4.68046728948682
17,-922.801158500371,NA,-0.6609472906913,-1.49764907740834,0.259509915554466,-0.316616849202844,-4.66056381321024
