"iter","ll_batch","ll_full","dens_0","conn_0","conn_X1","conn_X2","g0_1"
1,-1186.23686441196,-974.176021780693,-0.980000000000833,-1.9700000000055,0.0299999999750603,0.0299999999154968,-4.98000000000082
2,-1168.60921881268,NA,-0.960001264504679,-1.94001727109226,0.0583203863858664,0.0107929452043121,-4.96000093264917
3,-1149.61376470097,NA,-0.940004708705603,-1.91004895268728,0.0860808910823036,-0.013314759255247,-4.94000285452052
4,-1137.05061952464,NA,-0.920011308173148,-1.88011379165892,0.114306541889171,-0.0377542740089401,-4.92000333516413
5,-1122.11935848512,NA,-0.90002210012593,-1.85018019581741,0.125878428607275,-0.0603423317248066,-4.90001374287934
6,-1152.3331061426,NA,-0.880038183524568,-1.82027407141756,0.133831061615591,-0.0823767305024871,-4.88002815947173
7,-1105.70911157399,NA,-0.860060722327423,-1.79042712731936,0.14718161513429,-0.105770901028518,-4.86003897584783
8,-1102.49786003793,NA,-0.840090947971653,-1.76059200251126,0.153892800244155,-0.124971644890719,-4.84006465812918
9,-1098.99992853226,NA,-0.820130160167348,-1.73083500357053,0.153766698156761,-0.147232094836001,-4.82009213451342
10,-1108.31950373837,-871.108927546109,-0.800179728730889,-1.70109506294389,0.148201060355258,-0.160900337585246,-4.80014319395336
11,-1079.41831124978,NA,-0.780241096769656,-1.67145685894533,0.139902487839479,-0.17723941395582,-4.78019564501444
12,-1066.30627896509,NA,-0.760315782172943,-1.64190694570573,0.135424654122745,-0.192708367068214,-4.76025235641137
13,-1051.62400920395,NA,-0.74040538072897,-1.61249156718529,0.13332293781263,-0.210803028695673,-4.74030750189711
14,-1033.68853946438,NA,-0.720511566481693,-1.58317519100982,0.134103224057147,-0.227484279451666,-4.72037337916463
15,-1044.44650332867,NA,-0.700636095480685,-1.5539493760727,0.128020274989777,-0.24235024850016,-4.70046320852124
16,-999.117059960449,NA,-0.680780807316817,-1.52495751522032,0.131217035368671,-0.259026780932715,-4.68054552070942
17,-1006.95966157797,NA,-0.660947625968534,-1.49621340975714,0.132274049186809,-0.279002616616564,-4.66062556280005
18,-989.984381123226,NA,-0.641138557603513,-1.46763920290952,0.137356023735414,-0.297421311999815,-4.64072039060487
19,-972.757160568681,NA,-0.62135569989541,-1.43911804882355,0.144268706155824,-0.308994954946529,-4.62085511796911
20,-980.703821229826,-765.80793481537,-0.601601255853366,-1.41061307679885,0.146375805987961,-0.313610464081982,-4.60104550023112
21,-973.353027517915,NA,-0.581877539675408,-1.38248253864178,0.154214236629924,-0.318972632982897,-4.5812329072536
22,-942.831590059245,NA,-0.562186963162213,-1.35463696773185,0.160360818767447,-0.324346959019016,-4.5614440684056
23,-966.606553028157,NA,-0.542532039389663,-1.32676152070996,0.157521087771213,-0.322233717298375,-4.54173238871515
24,-935.216878645593,NA,-0.522915415138468,-1.29929110946686,0.156714610644539,-0.320823971426769,-4.52203199836416
25,-923.550940727609,NA,-0.50333984506853,-1.27209893769347,0.152979881491455,-0.319200972231805,-4.50236324764918
26,-895.518561414525,NA,-0.48380820208387,-1.24533911327795,0.148799398840039,-0.319463309257059,-4.48271125652929
27,-906.00445111915,NA,-0.464323468656405,-1.21906039047641,0.143351491759246,-0.321885499077629,-4.46308255219162
28,-891.767962239909,NA,-0.444888735265152,-1.19328469386779,0.139313509730845,-0.326769495753201,-4.44347719057196
29,-884.993491149983,NA,-0.425507198979397,-1.16785014536218,0.134250651305768,-0.330733796162901,-4.42391840746046
30,-865.547182571688,-670.401924052278,-0.406182190417245,-1.14288931098747,0.126895286862479,-0.336464162588807,-4.40439559247754
31,-887.189876519522,NA,-0.38691715627298,-1.11810168323059,0.118018790184518,-0.336832216395857,-4.38494910931406
32,-851.93174311019,NA,-0.36771572374481,-1.09367431301115,0.110066586549243,-0.335931417874871,-4.36555622094237
33,-861.953463333841,NA,-0.348581671635654,-1.06955863269956,0.107609248290363,-0.332240550455827,-4.34622779713527
34,-844.690414566475,NA,-0.32951895072341,-1.04584413198693,0.109201632641204,-0.327767317889938,-4.32695616800254
35,-831.153786943734,NA,-0.310531667749599,-1.02240125091596,0.10668404166691,-0.320362091315048,-4.30776813759304
36,-826.979899423201,NA,-0.291624117863813,-0.999563809199527,0.102297179705564,-0.314060011338183,-4.28864967673116
37,-815.747696629689,NA,-0.272800727848767,-0.977245667536026,0.0986034519008214,-0.307798912788952,-4.26959913996085
38,-810.025301758424,NA,-0.254066078825177,-0.9553572262317,0.0966618390258144,-0.300325115030146,-4.25062987260113
39,-792.35559092183,NA,-0.235424928316381,-0.934054069597322,0.0963352242537156,-0.293983178645855,-4.23173372970304
40,-799.093923940955,-587.585559838618,-0.216882174950203,-0.913316381058982,0.102022733127427,-0.286911744145061,-4.21292333687125
41,-784.606184719356,NA,-0.198442877964517,-0.89314298285485,0.109420657492341,-0.280930060374463,-4.1941926927676
42,-788.327306382153,NA,-0.180112240060607,-0.873423169736803,0.114885018576999,-0.27370723246648,-4.1755708452035
43,-787.30509542477,NA,-0.161895651114868,-0.854434277445479,0.11921435313504,-0.269150098062236,-4.15704482765589
44,-774.109052122396,NA,-0.14379861102333,-0.836535985729739,0.12462145713156,-0.270973135372915,-4.13860674585085
45,-777.62079444484,NA,-0.125826632487226,-0.818963577405794,0.125285366386101,-0.2706292717772,-4.1203006558925
46,-745.877906930906,NA,-0.107985466405009,-0.801880841100155,0.125602942959837,-0.269220949130622,-4.10211673570835
47,-734.480752547757,NA,-0.0902810568226266,-0.78557355058691,0.127576374610965,-0.270032089849324,-4.08404301693486
48,-738.981088602873,NA,-0.0727194441348246,-0.769856867277692,0.129614903919278,-0.269817230032869,-4.06610673449486
49,-748.432393951679,NA,-0.0553068435425985,-0.755246388419295,0.131484378111286,-0.274476576883283,-4.04831852337324
50,-738.688117660517,-520.95689486394,-0.038049448095633,-0.741294769960521,0.134446768355137,-0.279636868296133,-4.03068405755624
51,-721.993412844028,NA,-0.0209535661318084,-0.72778507813516,0.138038417928703,-0.282597205774346,-4.01320708082697
52,-709.173602900169,NA,-0.0040257136285711,-0.714817386651062,0.139560077229401,-0.285168352501887,-3.99590371557926
53,-698.828788915899,NA,0.012727439774176,-0.702715398197801,0.143622961833116,-0.289325913395649,-3.97876958881372
54,-699.598093587755,NA,0.0292992077930772,-0.691002765211802,0.144717973851964,-0.292535854654671,-3.96181600879939
55,-693.613697223923,NA,0.0456827150887328,-0.679654905507555,0.145048831262078,-0.294797788164068,-3.94503842848874
56,-695.351231025057,NA,0.0618709124059567,-0.668873564408883,0.145317939234176,-0.296346443785618,-3.92846602796701
57,-707.815419396299,NA,0.077856651586742,-0.658825069318672,0.144341179351055,-0.298248825055212,-3.91211355772366
58,-701.06613176032,NA,0.0936327600343512,-0.649047978577151,0.144090243068266,-0.295793192508112,-3.89598316710381
59,-674.735107873249,NA,0.109191818403592,-0.639844279648973,0.143262026982055,-0.293545590270885,-3.88006912630306
60,-682.637143721203,-472.307357040322,0.124526380750995,-0.631344356549655,0.139733825933155,-0.293975467094694,-3.86437608726725
61,-691.426998281863,NA,0.139629092825652,-0.623521813106747,0.135395681511038,-0.294893717560261,-3.84892874384653
62,-675.93946975848,NA,0.154492658865344,-0.615929596173487,0.128873406585105,-0.292198444039819,-3.83375441648309
63,-697.451196771663,NA,0.169109601277268,-0.608586749077567,0.123935138954142,-0.287420374039795,-3.81881756694149
64,-691.56244724114,NA,0.183472356760192,-0.601824421957128,0.118131746133983,-0.286128222059247,-3.80409994458797
65,-663.91600954034,NA,0.19757358416251,-0.5952353764983,0.110661940576042,-0.282115981466896,-3.78964279930105
