"iter","loglik","dens_0","conn_0","conn_X","g0_1","grad_dens_0","grad_conn_0","grad_conn_X","grad_g0_1"
16,-43.1496568455154,-0.682955713605975,-1.52286940758405,-0.446073690604202,-4.68289607030496,14.5402343822099,3.62641082169546,-0.289390776728737,9.94601742057455
17,-42.5829480927184,-0.663600312047676,-1.49367494426482,-0.467561602151028,-4.66356192677494,14.276716665762,3.5583126825145,-0.212834177162335,9.74196334752264
18,-42.0323733441052,-0.644341567075435,-1.4646283731379,-0.487614416182254,-4.64433554432265,14.0041358943677,3.48850634935616,-0.140275655411415,9.52972870535973
19,-41.4981697971891,-0.62518856436951,-1.43574384857858,-0.506123002459676,-4.62522810484819,13.7223891192662,3.41718389776702,-0.0722449888712617,9.30947053348063
20,-40.9805515903425,-0.606150871536888,-1.4070356886499,-0.522991702664275,-4.60625138618208,13.4313852865375,3.3444764083157,-0.00918633425328608,9.08135755054218
21,-40.4797195456323,-0.587238555298214,-1.37851839473996,-0.538141676057101,-4.58741776633205,13.1310478057145,3.27045728575115,0.0485424797602718,8.84556370579048
22,-39.9958702472738,-0.568462198701145,-1.35020669303553,-0.551513693697403,-4.56874022929189,12.8213181618264,3.19514822919587,0.100668835685269,8.60226269821851
23,-39.5292036711408,-0.549832917933424,-1.32211559449215,-0.563070192497558,-4.55023237282151,12.5021606238818,3.11852756283315,0.147002604080626,8.35162412514023
24,-39.0799286813073,-0.531362378168605,-1.29426046873058,-0.572796470388262,-4.53190841832024,12.1735680202306,3.04054043716917,0.187432137011001,8.09381178491719
25,-38.6482658853133,-0.513062807734041,-1.26665712633976,-0.580700987849151,-4.51378322255374,11.8355684758598,2.96111028426083,0.221919342493493,7.82898447958758
26,-38.2344475629298,-0.494947009750209,-1.23932190347266,-0.586814824199649,-4.49587229058544,11.4882329459221,2.88015083185655,0.250494218150266,7.55729942085281
27,-37.8387146196903,-0.477028370258549,-1.21227174239855,-0.591190405770277,-4.47819178883528,11.1316833276476,2.79757799496849,0.273249170419376,7.2789181191979
28,-37.4613107347798,-0.459320861734843,-1.18552426180599,-0.593899668179705,-4.46075855677079,10.7661009145943,2.71332103551458,0.290333372348073,6.99401443483794
29,-37.1024740504122,-0.441839040780356,-1.15909781108763,-0.595031833219082,-4.44359011535244,10.3917349446192,2.62733249016378,0.301947316287965,6.70278432536975
30,-36.7624268757714,-0.424598038696302,-1.13301150351581,-0.594690974677427,-4.42670467002817,10.0089109959356,2.53959650322599,0.308337621248711,6.40545673093129
31,-36.4413639531411,-0.407613543581956,-1.10728522406849,-0.592993523014006,-4.41012110581211,9.61803899159008,2.45013533678673,0.309792078709847,6.10230501742137
32,-36.1394398648715,-0.390901772557629,-1.08193960863124,-0.590065823895996,-4.39385897180339,9.21962057816472,2.35901394589177,0.30663485659943,5.79365839293189
33,-35.8567561586627,-0.374479432707158,-1.05699599233221,-0.586041827631528,-4.37793845240809,8.81425564145388,2.26634260883429,0.299221752158019,5.47991275766435
34,-35.59334874644,-0.35836366936823,-1.03247632582918,-0.581060951189082,-4.36238032253073,8.40264772108412,2.17227767777217,0.287935375737902,5.16154049726936
35,-35.3491760975705,-0.342572000482105,-1.00840305943352,-0.57526612546294,-4.34720588410837,7.98560807695026,2.07702057423376,0.273180161940445,4.83909878440159
36,-35.1241087056001,-0.327122235857156,-0.984798996009403,-0.568802019413887,-4.33243688158219,7.56405815543815,1.98081519336313,0.2553771391689,4.51323601083686
37,-34.9179202611147,-0.312032380412741,-0.961687114603794,-0.561813419916664,-4.31809539424719,7.13903020276518,1.88394391926749,0.234958424556453,4.18469603410188
38,-34.7302809113703,-0.297320520759687,-0.939090367734116,-0.554443740746832,-4.30420370390166,6.71166578030125,1.78672246804013,0.21236146864112,3.85431997074193
39,-34.5607529282454,-0.28300469484668,-0.917031456157811,-0.546833634839483,-4.29078413683999,6.28321195854653,1.68949379883543,0.188023114588987,3.52304533763004
40,-34.4087890377945,-0.269102744859369,-0.895532585748032,-0.539119689143633,-4.2778588799964,5.85501500260932,1.59262134246774,0.162373588068476,3.19190240091416
41,-34.2737335857937,-0.25563215409719,-0.874615211777472,-0.531433189460333,-4.26544977194626,5.42851141311473,1.49648179814221,0.135830570968665,2.86200766339562
42,-34.1548266239127,-0.242609869160616,-0.854299776434785,-0.523898952052737,-4.25357807048596,5.00521625760086,1.40145775134215,0.108793534892015,2.53455450796025
43,-34.051210901894,-0.23005210944137,-0.834605445744846,-0.516634228102013,-4.24226419961206,4.58670880519207,1.30793034898602,0.0816385291813049,2.21080108644855
44,-33.9619416453245,-0.217974166592585,-0.815549852208397,-0.509747695048395,-4.23152747985825,4.17461558384957,1.21627225631471,0.0547136116324509,1.89205564787187
45,-33.8859988907428,-0.206390197334292,-0.797148849411015,-0.50333855452791,-4.22138584706808,3.77059106760669,1.12684108842132,0.0283350929919379,1.57965958244688
46,-33.8223020454073,-0.195313013581084,-0.779416284569391,-0.49749575934386,-4.21185556571102,3.3762963220596,1.03997348183782,0.00278473471837515,1.27496855540699
47,-33.7697262441085,-0.184753874422961,-0.762363794498916,-0.492297391495935,-4.20295094371813,2.99337602903904,0.955979929671003,-0.0216920170714729,0.979332177877268
48,-33.727119995845,-0.174722284904344,-0.746000629818583,-0.487810209833085,-4.1946840564437,2.6234344095144,0.875140467826441,-0.0448867258029395,0.694072740827778
49,-33.6933235542264,-0.165225806790832,-0.730333511387831,-0.484089379969079,-4.18706448768627,2.2680106447126,0.797701261276984,-0.0666276197591742,0.420463587929021
50,-33.6671874112144,-0.156269886558632,-0.715366522041394,-0.481178391518579,-4.18009909567784,1.92855444446138,0.72387209534952,-0.0867783008828837,0.159707729707748
51,-33.6475903068073,-0.147857705664768,-0.70110103568528,-0.479109159428491,-4.17379181154292,1.60640245844945,0.653824755545429,-0.105235647254176,-0.0870826801246949
52,-33.6334561684234,-0.139990057753489,-0.687535684794378,-0.477902298208476,-4.16814347694445,1.30275621437193,0.587692243172455,-0.121927094554053,-0.31890541293933
53,-33.623769442182,-0.13266525683287,-0.6746663663477,-0.477567551011869,-4.16315172650041,1.01866225065805,0.525568759215389,-0.136807497383984,-0.534885220915271
54,-33.6175883514901,-0.125879079641306,-0.662486285287793,-0.478104350434476,-4.15881091913371,0.754995049589979,0.467510376722657,-0.149855783746489,-0.734288390589199
55,-33.6140557122865,-0.119624744455849,-0.650986033727417,-0.47950248483148,-4.15511212089398,0.512443288727127,0.413536315377883,-0.161071591620043,-0.916534392558788
56,-33.6124070436574,-0.113892927524132,-0.640153703380577,-0.481742843020679,-4.15204314006263,0.29149981465082,0.363630722688413,-0.170472065477156,-1.08120432813053
57,-33.6119758310783,-0.108671817185435,-0.629975028066233,-0.484798211130848,-4.1495886136273,0.0924556171355562,0.317744882707416,-0.178088936451104,-1.22804598248649
58,-33.612195920517,-0.103947204645696,-0.620433552646162,-0.488634097788265,-4.14773014259327,-0.0846020726186225,0.27579976254799,-0.183965984490442,-1.35697542440028
59,-33.6126011382726,-0.0997026093401303,-0.611510824410648,-0.493209567267203,-4.14644647217216,-0.239787573548256,0.237688816540071,-0.188156923854876,-1.46807519861625
60,-33.6128223374363,-0.0959194359061123,-0.603186602701406,-0.498478064245321,-4.14571371172147,-0.373410604268543,0.203280984365506,-0.190723722894859,-1.56158927623551
61,-33.6125821618976,-0.0925771590340544,-0.595439082478202,-0.504388217961076,-4.14550558844289,-0.485966484120581,0.17242380252469,-0.191735332961684,-1.63791502892252
62,-33.6116878888817,-0.0896535318893125,-0.588245127547801,-0.510884617495719,-4.14579372829649,-0.578123091514726,0.144946584583749,-0.191266771025767,-1.69759256827717
63,-33.610022758644,-0.0871248134153303,-0.581580509301431,-0.517908553401948,-4.14654795734419,-0.650705080786906,0.120663601634874,-0.189398492409509,-1.7412918639792
64,-33.6075362243921,-0.0849660096329445,-0.575420147008434,-0.525398723772816,-4.14773661676986,-0.704675909162233,0.0993772223267797,-0.186215973556614,-1.76979809502598
65,-33.6042335575412,-0.083151124031442,-0.569738345982041,-0.533291905019417,-4.14932688508962,-0.74111826577905,0.0808809698327195,-0.181809423835944,-1.78399570280874
66,-33.6001652251695,-0.0816534122816822,-0.564509030261096,-0.541523589151854,-4.15128510151709,-0.761213495863444,0.0649624514181824,-0.176273558878393,-1.78485162720676
67,-33.5954164211998,-0.0804456367640225,-0.559705966802853,-0.550028590184573,-4.15357708502811,-0.766220592609557,0.0514061395051613,-0.169707362260851,-1.77339817810207
68,-33.5900970842211,-0.0795003167661662,-0.555302978571016,-0.558741622578417,-4.15616844433097,-0.757455292230702,0.0399959655084103,-0.162213788925669,-1.75071597254828
69,-33.5843326771127,-0.0787899706386172,-0.551274144289418,-0.567597854429393,-4.15902487464452,-0.736269743200069,0.0305177164250381,-0.153899369550459,-1.71791731247595
70,-33.5782559408301,-0.0782873466735559,-0.547593983030379,-0.576533437511881,-4.16211243788568,-0.704033160374706,0.0227612086689533,-0.14487368787286,-1.67613033489999
71,-33.5719997706479,-0.0779656399726116,-0.544237622194213,-0.585486015440657,-4.1653978235399,-0.662113794831498,0.0165222306236501,-0.135248725214865,-1.62648420086953
72,-33.5656913010997,-0.0777986930708912,-0.541180947810626,-0.59439521014588,-4.16884858811722,-0.611862472226221,0.0116042462394716,-0.125138065030228,-1.57009553277021
73,-33.5594472284827,-0.0777611785749278,-0.538400736453195,-0.603203085758133,-4.17243337167123,-0.554597883350993,0.00781985242781502,-0.114655976659606,-1.50805625274586
74,-33.5533703490823,-0.0778287625378904,-0.535874768393235,-0.611854587860635,-4.1761220903728,-0.491593731481998,0.00499199288128693,-0.103916389591063,-1.44142291325977
75,-33.547547248555,-0.0779782477299288,-0.533581921930057,-0.620297955052967,-4.17988610458555,-0.424067783910687,0.00295493144619741,-0.0930317891345567,-1.37120756356524
76,-33.5420470438971,-0.0781876963599562,-0.531502249122985,-0.628485098923873,-4.1836983622888,-0.353172820624081,0.0015549880316712,-0.0821120637795048,-1.29837015677481
77,-33.536921054307,-0.0784365321625904,-0.529617033401217,-0.636371947890215,-4.18753351803731,-0.279989417535376,0.000651053682076963,-0.071263333794036,-1.22381244793246
78,-33.5322032607605,-0.0787056220819997,-0.527908829756878,-0.643918750011775,-4.19136802794414,-0.205520478075982,0.000114890710278814,-0.0605867974456942,-1.1483733224793
79,-33.5279114056493,-0.0789773380608503,-0.526361488418895,-0.651090329859819,-4.19518022142534,-0.130687389372497,-0.0001687625683644,-0.0501776295180889,-1.07282545521059
80,-33.524048582527,-0.0792355996790582,-0.52496016306509,-0.657856294778865,-4.1989503506577,-0.0563276634579779,-0.000302264595575252,-0.0401239599057135,-0.997873188239851
81,-33.5206051708328,-0.0794658985851701,-0.523691304761749,-0.664191186466776,-4.20266061887953,0.01680608718857,-0.000375304836097712,-0.0305059627692117,-0.924151509735793
82,-33.5175609802867,-0.0796553058241468,-0.522542642916794,-0.670074574669442,-4.20629518880841,0.0880459985808102,-0.000465276812633419,-0.0213950813332531,-0.852225999992129
83,-33.5148874833164,-0.0797924632918747,-0.521503154599241,-0.675491090870972,-4.20984017256537,0.156807784463808,-0.000637769232980645,-0.0128534050247708,-0.782593618637861
84,-33.5125500302422,-0.0798675606407944,-0.520563023613541,-0.680430401116011,-4.21328360458195,0.222588699116955,-0.000947153111496846,-0.00493321302030836,-0.715684206014089
85,-33.5105099599258,-0.0798722990249769,-0.519713590731808,-0.684887118471643,-4.2166153990283,0.284964779950769,-0.00143724847134763,0.0023233051393845,-0.651862579914564
86,-33.508726537207,-0.0797998431101254,-0.518947296470095,-0.688860657006257,-4.21982729333747,0.343587502982245,-0.00214204618487202,0.00888415257804809,-0.591431114074226
87,-33.5071586668413,-0.0796447627862313,-0.518257617760539,-0.692355030484194,-4.22291277941689,0.398179976386359,-0.00308646967539516,0.014727454455965,-0.534632700208704
88,-33.5057663510931,-0.0794029660114674,-0.517638999816796,-0.695378600190091,-4.22586702413248,0.4485327819026,-0.0042871587169202,0.0198412202934151,-0.481653998889442
89,-33.5045118740624,-0.0790716241881663,-0.517086784423247,-0.697943777320565,-4.22868678062878,0.494499561298767,-0.00575326254192987,0.0242229546643102,-0.432628904221133
90,-33.5033607098103,-0.0786490914281014,-0.51659713579603,-0.700066686220931,-4.2313702920099,0.535992433157162,-0.00748722690957493,0.027879128978725,-0.387642152901435
91,-33.5022821631341,-0.078134819007188,-0.516166965076549,-0.701766795310969,-4.23391718885367,0.572977314803325,-0.00948556703406211,0.0308245391522632,-0.346733018119494
92,-33.5012497612964,-0.0775292662435884,-0.515793854425562,-0.703066522929294,-4.23632838196921,0.605469205439135,-0.0117396180598917,0.0330815623783565,-0.30989904466594
93,-33.5002414221188,-0.0768338089577796,-0.515475981586219,-0.703990825411706,-4.23860595173549,0.633527487963192,-0.0142362532784546,0.0346793442673743,-0.277099782053369
94,-33.4992394287244,-0.0760506465935481,-0.515212045690611,-0.704566774658712,-4.24075303528104,0.657251286071414,-0.0169585694465013,0.0356529298528585,-0.248260489215113
95,-33.4982302440082,-0.0751827089955221,-0.515001194987515,-0.704823132165405,-4.2427737126805,0.676774912093947,-0.0198865325984343,0.0360423649681252,-0.223275779376308
96,-33.4972041988817,-0.0742335637533927,-0.514842957078341,-0.704789926054061,-4.24467289325965,0.692263434771689,-0.0229975842103158,0.0358917883147569,-0.202013193799644
97,-33.4961550877504,-0.0732073249384823,-0.514737172158504,-0.704498037117391,-4.24645620301139,0.703908384167562,-0.0262672042339318,0.0352485304944139,-0.184316680460483
98,-33.4950797028248,-0.0721085639741451,-0.514683929682618,-0.703978799272233,-4.24812987403903,0.711923613749832,-0.0296694346957338,0.0341622353516868,-0.170009970901219
99,-33.493977336036,-0.0709422232995262,-0.514683508792484,-0.703263619116491,-4.24970063685568,0.716541332366205,-0.0331773599526741,0.0326840237363513,-0.158899842617188
100,-33.4928492738143,-0.0697135334070673,-0.514736322775586,-0.702383618606856,-4.25117561628434,0.718008316198393,-0.0367635459497251,0.0308657039482796,-0.150779259158185
