"rec","step_dens_0","step_conn_0","step_conn_agri","step_conn_wtr","step_g0_1","grad_dens_0","grad_conn_0","grad_conn_agri","grad_conn_wtr","grad_g0_1","ratio_dens_0","ratio_conn_0","ratio_conn_agri","ratio_conn_wtr","ratio_g0_1"
1,0.0199999999959654,0.0299999999757663,0.029999999977039,-0.0299999999474123,0.0199999999988846,49.5708572543663,12.3794527860355,13.0656375768012,-5.7047523307574,179.313282206977,0.999999999798268,0.99999999919221,0.999999999234634,0.999999998247076,0.999999999944232
2,0.0199746939775187,0.0299913284231295,0.0290394253271735,-0.0299829570898337,0.0199901821276704,47.5966697547392,15.4361386944402,8.53384700462811,-5.5923617787812,176.222905625991,0.998734698875937,0.99971094743765,0.967980844239117,0.999431902994456,0.999509106383521
3,0.0199297948389149,0.0300305756031442,0.026640163069229,-0.0299527463487992,0.0199733993861826,45.5674455656663,18.3287332549753,4.17451696762328,-5.47407133581146,173.090983748807,0.996489741945746,1.00101918677147,0.888005435640967,0.998424878293307,0.998669969309129
4,0.0198623160664799,0.0301266569488692,0.0223482416441752,-0.0299264973313642,0.0199496477786123,43.4565857199232,20.7610178267714,0.496792084732078,-5.42128618008064,169.974871892009,0.993115803323996,1.00422189829564,0.744941388139175,0.997549911045472,0.997482388930616
5,0.0197678443123853,0.0302668762932749,0.016859281437998,-0.0298822872474775,0.0199193102320816,41.2208085401744,22.4251325983005,-1.88792945550631,-5.30980287066996,166.950415645033,0.988392215619266,1.0088958764425,0.561976047933267,0.996076241582583,0.99596551160408
6,0.0196404340620264,0.030416799122622,0.012006374052112,-0.0298362695701092,0.0198829883470944,38.821071706252,22.9982478253987,-2.47272644855911,-5.24371833080295,164.066243804655,0.982021703101322,1.0138933040874,0.400212468403733,0.99454231900364,0.994149417354721
7,0.0194734109231122,0.0305286738673049,0.00913297745998246,-0.0297996701809981,0.0198410619360721,36.25293520372,22.6375388274391,-1.42401124662683,-5.22184095189004,161.298854915231,0.973670546155612,1.0176224622435,0.304432581999415,0.993322339366605,0.992053096803607
8,0.0192603246980459,0.0305668274307779,0.00867540487478598,-0.0297712596466688,0.0197934142546075,33.5469794003984,21.6972535145032,0.699731862141562,-5.2103575012552,158.573718141497,0.963016234902296,1.0188942476926,0.289180162492866,0.992375321555627,0.989670712730373
9,0.0189956584602953,0.0305276450846165,0.0101788702298313,-0.0297456829424204,0.0197394134928427,30.7542469397504,20.6640375256484,2.9675264420348,-5.19195576316633,155.805029148723,0.949782923014765,1.01758816948722,0.339295674327711,0.991522764747347,0.986970674642134
10,0.0186750071506762,0.0304367301205524,0.0126512377754342,-0.029727248512908,0.0196781070916881,27.9263378251926,19.8804551587273,4.66091377461453,-5.1913819265792,152.930526472801,0.93375035753381,1.01455767068508,0.421707925847806,0.990908283763599,0.983905354584406
11,0.0182946968106481,0.0303398891203407,0.0151427160735964,-0.0296955204269268,0.0196085023397661,25.0997722298507,19.5866747048967,5.43698549790861,-5.13460278853017,149.927559388061,0.914734840532404,1.01132963734469,0.504757202453212,0.989850680897561,0.980425116988307
12,0.0178511802482888,0.0302758483844123,0.0170604284831841,-0.0296473586462891,0.0195297874156745,22.2920284068095,19.7569836927869,5.19705012720806,-5.06295425111603,146.807414778323,0.892559012414442,1.00919494614708,0.56868094943947,0.988245288209636,0.976489370783723
13,0.0173405143538814,0.0302679887017808,0.0181158403239698,-0.0295923566879485,0.0194414395874157,19.5055933420463,20.2908558662784,4.13647687764751,-5.01264655781597,143.600596195483,0.86702571769407,1.00893295672603,0.603861344132328,0.986411889598284,0.972071979370787
14,0.0167579315621726,0.0303165859531772,0.0181050867256573,-0.0295322730744657,0.0193432579003541,16.7321572621404,20.9712638775272,2.52235829862002,-4.96600855854012,140.34571614161,0.83789657810863,1.01055286510591,0.603502890855242,0.984409102482189,0.967162895017707
15,0.016097269322915,0.0304091703607198,0.016994569539221,-0.0294661477025718,0.0192353832066225,13.9522024824146,21.6406815536629,0.836208947703199,-4.91632588477842,137.085978949472,0.804863466145749,1.01363901202399,0.566485651307367,0.982204923419061,0.961769160331127
16,0.0153505316173139,0.0305229450958515,0.0150762514382494,-0.029380418004497,0.0191182801506616,11.1388868197082,22.1296297434037,-0.427233944719774,-4.82982752714634,133.863608850788,0.767526580865696,1.01743150319505,0.502541714608313,0.979347266816567,0.955914007533078
17,0.0145082154503499,0.030625142792568,0.0128930612742489,-0.0292830343550774,0.0189926401904715,8.27032308620801,22.2492966702248,-1.01282457990237,-4.75889143558561,130.710474880971,0.725410772517495,1.0208380930856,0.42976870914163,0.976101145169248,0.949632009523576
18,0.0135606760764235,0.0306791993591446,0.0111575143555736,-0.0291846831650551,0.0188592318718246,5.34276084408702,21.8917556765064,-0.711626889824402,-4.71292464453654,127.641967474119,0.678033803821174,1.02263997863815,0.371917145185788,0.972822772168503,0.942961593591228
