"iter","err","ll","dens_0","conn_0","conn_X1","conn_X2","g0_1","step_dens_0","step_conn_0","step_conn_X1","step_conn_X2","step_g0_1","grad_dens_0","grad_conn_0","grad_conn_X1","grad_conn_X2","grad_g0_1"
1,1.59094332504478,-973.228534317255,-0.980000000000833,-1.97000000000541,0.0299999999748671,-0.0299999999808686,-4.98000000000082,0.019999999999167,0.0299999999945879,0.0299999999748671,-0.0299999999808686,0.0199999999991762,240.098141321141,55.431818782381,11.93654927647,-15.6810348346426,242.791845910233
2,1.57094388981179,NA,-0.960001153517406,-1.94000516138761,0.0598380074959097,-0.0598832532643608,-4.96000056476783,0.0199988464834272,0.0299948386178058,0.0298380075210426,-0.0298832532834922,0.0199994352329965,239.524287159156,55.0466652828163,10.4415847647488,-14.1112626545237,242.505758192237
3,1.55094540635687,NA,-0.940004299384116,-1.91002119648332,0.0893580430260851,-0.089545206303644,-4.94000208131291,0.0199968541332895,0.0299839649042854,0.0295200355301754,-0.0296619530392832,0.0199984834549149,238.925468916023,54.5446110356806,8.92289360763243,-12.5162575488957,242.21554935707
4,1.53094828815985,NA,-0.920010330738478,-1.88005556486492,0.118355323864288,-0.118856012437667,-4.92000496311589,0.0199939686456381,0.0299656316184018,0.0289972808382032,-0.0293108061340233,0.0199971181970214,238.300743318405,53.929010146021,7.39055558142354,-10.9048531703593,241.914891157649
5,1.5109529918173,NA,-0.900020196474297,-1.85011744156594,0.146564621938706,-0.147655827505699,-4.90000966677334,0.0199901342641812,0.0299381232989792,0.028209298074418,-0.0287998150680314,0.0199952963425482,237.649168069538,53.2060592217931,5.85714773023938,-9.28696860114542,241.59707625131
6,1.4909600348715,NA,-0.880034902609281,-1.82021760990174,0.173649725702443,-0.175750102957973,-4.88001670982754,0.0199852938650159,0.0298998316641965,0.0270851037637371,-0.0280942754522748,0.0199929569458073,236.969803979719,52.3851521438701,4.33823564208069,-7.67361745033668,241.255094567805
7,1.4709700142877,NA,-0.860055513571965,-1.79036826126402,0.19919831943374,-0.202905618948376,-4.86002668924374,0.0199793890373165,0.0298493486377182,0.0255485937312961,-0.0271555159904027,0.0199900205837999,236.261714690045,51.4791472380693,2.85277701777886,-6.07689333719463,240.881778420317
8,1.45098362467246,NA,-0.840083153428342,-1.76058268806408,0.22272907956653,-0.228848482354739,-4.8400402996285,0.0199723601436228,0.0297855731999463,0.0235307601327901,-0.0259428634063627,0.0199863896152318,235.523962569459,50.5044246528996,1.42322406190942,-4.50993913887032,240.470047410781
9,1.43100167482736,NA,-0.820119007090458,-1.73087486687897,0.243718733343227,-0.253265862739172,-4.8200583497834,0.0199641463378834,0.0297078211851053,0.0209896537766977,-0.0244173803844328,0.0199819498451049,234.75559932308,49.48055186901,0.075006707902503,-2.98692817068513,240.013282526661
10,1.41102510070473,-870.657653570564,-0.800164321576113,-1.70125894898193,0.261653003805191,-0.275813649101982,-4.80008177566077,0.0199546855143454,0.0296159178970402,0.0179342704619634,-0.0225477863628101,0.0199765741226279,233.955650220423,48.4293527108548,-1.16494097937903,-1.52310036810377,239.50583441092
11,1.39105497252839,NA,-0.780220407414909,-1.67174870296803,0.276094803671769,-0.296132076307262,-4.78011164748443,0.0199439141612043,0.0295102460139046,0.0144417998665782,-0.02031842720528,0.0199701281763456,233.123092265259,47.3732673253835,-2.27073213295625,-0.134870497277007,238.943608734417
12,1.37109249414624,NA,-0.760288640312627,-1.64235698024438,0.286750037744424,-0.313870143726047,-4.76014916910228,0.0199317671022816,0.0293917227236477,0.0106552340726548,-0.0177380674187857,0.0199624783821437,232.256828594473,46.333148687836,-3.22074674159012,1.16007620249547,238.324581206371
13,1.35113899386842,NA,-0.740370463184601,-1.61309528494669,0.293506938721191,-0.328717007684081,-4.74019566882447,0.0199181771280257,0.0292616952976938,0.00675690097676765,-0.0148468639580337,0.0199535002778173,231.355663296426,45.3259745393098,-4.00050305188415,2.34292700838523,237.649033302887
14,1.33119590792101,NA,-0.72046738864686,-1.58397351617441,0.296436027414924,-0.340435060643721,-4.72025258287705,0.0199030745377416,0.0291217687722731,0.00292908869373274,-0.0117180529596397,0.0199430859474153,230.418281332732,44.3631130951871,-4.60402484918632,3.39438798619085,236.91934612998
15,1.31126475949147,NA,-0.700581002015492,-1.55499991678778,0.295756929315179,-0.348886965991615,-4.70032143444751,0.0198863866313677,0.0289735993866368,-0.000679098099744866,-0.0084519053478946,0.0199311484295362,229.443237229816,43.4495847025573,-5.03319409745018,4.29590275530245,236.139354150282
