"rec","dens_0","conn_0","conn_agri","conn_wtr","g0_1"
1,-0.255064164446917,-1.16013567871062,0.0188409154176318,-1.00416938414137,-4.2404014271381
2,-0.235089470469398,-1.13014435028749,0.0478803407448053,-1.0341523412312,-4.22041124501043
3,-0.215159675630483,-1.10011377468435,0.0745205038140344,-1.06410508758,-4.20043784562425
4,-0.195297359564003,-1.06998711773548,0.0968687454582096,-1.09403158491136,-4.18048819784564
5,-0.175529515251618,-1.0397202414422,0.113728026896208,-1.12391387215884,-4.16056888761356
6,-0.155889081189591,-1.00930344231958,0.12573440094832,-1.15375014172895,-4.14068589926646
7,-0.136415670266479,-0.978774768452276,0.134867378408302,-1.18354981190995,-4.12084483733039
8,-0.117155345568433,-0.948207941021498,0.143542783283088,-1.21332107155662,-4.10105142307578
9,-0.0981596871081379,-0.917680295936881,0.153721653512919,-1.24306675449904,-4.08131200958294
10,-0.0794846799574617,-0.887243565816329,0.166372891288354,-1.27279400301195,-4.06163390249125
11,-0.0611899831468136,-0.856903676695988,0.18151560736195,-1.30248952343887,-4.04202540015149
12,-0.0433388028985248,-0.826627828311576,0.198576035845134,-1.33213688208516,-4.02249561273581
13,-0.0259982885446434,-0.796359839609795,0.216691876169104,-1.36172923877311,-4.00305417314839
14,-0.00924035698247077,-0.766043253656618,0.234796962894761,-1.39126151184758,-3.98371091524804
15,0.00685691234044421,-0.735634083295898,0.251791532433982,-1.42072765955015,-3.96447553204142
16,0.0222074439577581,-0.705111138200047,0.266867783872231,-1.45010807755465,-3.94535725189076
17,0.036715659408108,-0.674485995407479,0.27976084514648,-1.47939111190972,-3.92636461170029
18,0.0502763354845315,-0.643806796048334,0.290918359502054,-1.50857579507478,-3.90750537982846
19,0.0627769775413561,-0.613140822019385,0.301276428211737,-1.53767098870857,-3.88878664975399
20,0.0741027615479125,-0.58256077751946,0.311879012798419,-1.56667800445937,-3.87021501277572
21,0.0841431484343141,-0.552128721504787,0.323517854684778,-1.59560500587816,-3.85179669557607
22,0.0927986752605142,-0.521878777713491,0.336501274491811,-1.62445510514471,-3.8335375849371
23,0.0999863509850735,-0.491812912823773,0.350653674159466,-1.65321225466532,-3.81544311691397
24,0.105642804318514,-0.461911569394001,0.365399409433725,-1.68187727169641,-3.79751806717392
25,0.109724954840796,-0.432140444548183,0.379973912171458,-1.71043982678818,-3.77976628088449
26,0.112208897275133,-0.402472783151743,0.393626254132728,-1.73889195794644,-3.76219038993742
27,0.113087996599803,-0.372901470898394,0.405931105345521,-1.76722598883727,-3.74479155783598
28,0.112371601414461,-0.343446308778388,0.416887924858321,-1.79543096774678,-3.72756933446527
29,0.110084720962163,-0.314153846780166,0.426910340331002,-1.82351012711365,-3.71052165798012
30,0.106268396032568,-0.285083598874321,0.43667134700665,-1.85147055207152,-3.69364501456035
31,0.100979957373935,-0.256289738161536,0.446854406518415,-1.87931707533899,-3.67693471692731
32,0.0942922769003031,-0.227811346087756,0.457969780822349,-1.90704572855742,-3.66038522582594
33,0.0862916997553254,-0.199657761614319,0.470293197878794,-1.93465338710657,-3.6439904557028
34,0.0770749569876784,-0.171805195439338,0.484009551745517,-1.96213472133209,-3.62774403914989
35,0.0667459754324749,-0.144196879017062,0.49938018816706,-1.98947072107941,-3.6116395974861
36,0.0554133051120152,-0.116741576130185,0.51690882307112,-2.01663336181484,-3.59567107935678
37,0.0431886145176005,-0.0893108493490345,0.537131651734718,-2.04359627776392,-3.57983323627946
38,0.0301855630508277,-0.0617569505965106,0.559932462638026,-2.07032080634745,-3.5641221072158
39,0.0165173798819035,-0.0339144167939338,0.583776739765958,-2.09673752049407,-3.54853509187499
40,0.0022916260543987,-0.00562426440838398,0.60479472130176,-2.12280544279475,-3.53307013616872
