"iter","ll_batch","ll_full","dens_0","conn_0","conn_X1","conn_X2","g0_1"
1,-973.228534317255,-973.228534317255,-0.980000000000833,-1.97000000000541,0.0299999999748671,-0.0299999999808686,-4.98000000000082
2,-961.266434794013,NA,-0.960001261789044,-1.94000563454864,0.0598290260999018,-0.0598761470622286,-4.96000061811558
3,-949.439484767711,NA,-0.940004702987931,-1.91002312694204,0.089323801150582,-0.0895182550751173,-4.94000227828624
4,-937.754065660251,NA,-0.920011300759667,-1.88006058842307,0.118271807923006,-0.11879042517489,-4.92000543397371
5,-926.214760692744,NA,-0.900022093475983,-1.85012797369422,0.146400720446671,-0.147526780131956,-4.90001058656027
6,-914.82370709664,NA,-0.880038182296811,-1.82023695354223,0.17336971286982,-0.175527478234381,-4.88001830496601
7,-903.579923682342,NA,-0.860060732662113,-1.79040068721263,0.198766960010781,-0.20255580200397,-4.86002924584031
8,-892.478747121138,NA,-0.840090975719512,-1.76063348258508,0.222119578440163,-0.228337529255175,-4.84004417327924
9,-881.511585319943,NA,-0.820130209733778,-1.7309503449202,0.242922353292134,-0.252564196913086,-4.82006397650999
10,-870.666219659004,-870.666219659004,-0.800179801552046,-1.70136643632028,0.260687249405907,-0.274902054960569,-4.80008968349646
11,-859.927788013659,NA,-0.780241188224146,-1.6718964950673,0.275006069728954,-0.295008138613291,-4.78012246822413
12,-849.280349174954,NA,-0.760315878892061,-1.64255428738008,0.285608280945747,-0.312553589244625,-4.76016364986687
13,-838.708688881221,NA,-0.740405457058458,-1.61335217138675,0.292393931485049,-0.327252048653255,-4.74021468331225
14,-828.199950942952,NA,-0.720511583319935,-1.58430083740389,0.295432035048514,-0.338888302278214,-4.72027714236072
15,-817.744803125182,NA,-0.700635998611045,-1.55540925550287,0.294930593060713,-0.347340830843047,-4.70035269862329
16,-807.338048133477,NA,-0.680780527957121,-1.52668482493084,0.29119391807849,-0.352592949148472,-4.68044310001864
17,-796.978732300394,NA,-0.660947084683982,-1.49813369236733,0.284581992816429,-0.35473072065689,-4.66055015255015
18,-786.669862334817,NA,-0.641137674987575,-1.46976119143452,0.275479924667146,-0.35393002097159,-4.6406757079753
19,-776.417848831258,NA,-0.621354402732349,-1.44157235239492,0.264279152798701,-0.350437781036739,-4.62082165856316
20,-766.231781248382,-766.231781248382,-0.601599474326478,-1.41357243460653,0.251368498747146,-0.34455265726239,-4.60098993882678
21,-756.122613156038,NA,-0.581875203514124,-1.38576744148712,0.23713205083278,-0.336608806673507,-4.58118253317576
22,-746.102307667186,NA,-0.562184015927225,-1.35816458590355,0.221951013032378,-0.326964346456705,-4.56140148792413
23,-736.182972122151,NA,-0.542528453250201,-1.33077268152637,0.206207106483803,-0.315994343538691,-4.54164892594528
24,-726.376006486376,NA,-0.522911176871866,-1.30360244216899,0.190285461967718,-0.304087083093916,-4.52192706237955
25,-716.691303853028,NA,-0.503334970932111,-1.27666667658832,0.174575118415953,-0.291641792122445,-4.50223822006931
26,-707.136569674432,NA,-0.483802744718429,-1.24998037123975,0.159465398023807,-0.27906576251405,-4.4825848437499
