"label","rate","decay_tau","polyak_from","iter","sec","par","true","bfgs","sgd","polyak","ll_bfgs","ll_sgd","ll_polyak"
"r010_decay",0.1,50,100,200,2465.7833199501,"dens_0",0.3,0.445736477194628,0.34318313995109,0.213573360308284,-417.635836851951,-429.482687300766,-451.698197130616
"r010_decay",0.1,50,100,200,2465.7833199501,"conn_0",-1,-0.578116247714457,-0.582271391944699,-0.626519388963856,-417.635836851951,-429.482687300766,-451.698197130616
"r010_decay",0.1,50,100,200,2465.7833199501,"conn_X1",0.35,0.185569805337406,0.114451865558334,0.127527203035002,-417.635836851951,-429.482687300766,-451.698197130616
"r010_decay",0.1,50,100,200,2465.7833199501,"conn_X2",-0.3,-0.263783594810986,-0.250013938241837,-0.265346645181975,-417.635836851951,-429.482687300766,-451.698197130616
"r010_decay",0.1,50,100,200,2465.7833199501,"g0_1",-3.2,-3.38905667495604,-3.64264464838376,-3.77557645319939,-417.635836851951,-429.482687300766,-451.698197130616
