"iter","err","ll","dens_0","conn_0","conn_X1","conn_X2","g0_1","step_dens_0","step_conn_0","step_conn_X1","step_conn_X2","step_g0_1","grad_dens_0","grad_conn_0","grad_conn_X1","grad_conn_X2","grad_g0_1"
1,1.56094332504602,-955.857333897184,-0.950000000002083,-1.92500000001353,0.05,-0.05,-4.95000000000206,0.0499999999979175,0.0749999999864699,0.05,-0.05,0.0499999999979406,240.098141321141,55.431818782381,11.93654927647,-15.6810348346426,242.791845910233
2,1.51094822926539,NA,-0.900008306375351,-1.85004278293136,0.1,-0.1,-4.90000490422143,0.0499916936267314,0.0749572170821718,0.05,-0.05,0.0499950957806255,238.616588646892,54.3356424361718,9.3480866507889,-13.1825524169926,241.895800356815
3,1.46096150638832,NA,-0.850031804301105,-1.77518636144641,0.15,-0.15,-4.85001818134436,0.0499765020742462,0.0748564214849487,0.05,-0.05,0.049986722877074,236.970599700044,52.7696500307684,6.57782488929115,-10.4747531759131,240.975142345405
4,1.41098729844364,NA,-0.800078571078578,-1.70051420812776,0.2,-0.2,-4.80004397339968,0.0499532332225273,0.0746721533186523,0.05,-0.05,0.0499742079446755,235.14374517049,50.7527163324539,3.64275371225631,-7.5780304825912,239.969075236104
5,1.36103089607731,NA,-0.75015803912805,-1.6261372630858,0.25,-0.25,-4.75008757103335,0.0499205319505278,0.07437694504196,0.05,-0.05,0.0499564023663384,233.118757223565,48.3213866800725,0.568745865621167,-4.51997135655802,238.813169523837
6,1.31109925372264,NA,-0.700281174689101,-1.55219504150975,0.293126028184845,-0.3,-4.70015592867868,0.0498768644389486,0.0739422215760522,0.0431260281848445,-0.05,0.049931642354665,230.87762148748,45.528363974654,-2.60981152450768,-1.33402511437453,237.440545397476
7,1.26120200555665,NA,-0.650460676221216,-1.47884332447015,0.31737233330615,-0.348281298201142,-4.65025868051269,0.0498204984678853,0.0733517170395965,0.024246305121305,-0.0482812982011422,0.0498972481659894,228.401391909756,42.5516678240001,-5.48789114759529,1.97904980723251,235.739282372833
8,1.21135243853135,NA,-0.600711210704461,-1.40622676281736,0.322968427295277,-0.381965330710738,-4.60040911348739,0.0497494655167547,0.0726165616527886,0.00559609398912733,-0.0336840325095957,0.0498495670253035,225.668812154254,39.6811600228375,-7.39259663305347,5.37137714559321,233.59862353459
9,1.16156628158854,NA,-0.551049722465735,-1.33447144460407,0.312976584841298,-0.399388186829614,-4.55062295654458,0.0496614882387264,0.0717553182132865,-0.00999184245397844,-0.0174228561188757,0.0497861569428065,222.653623876568,37.0161012256176,-8.38772692418388,8.00729791649246,231.099431688335
10,1.11186116736914,-716.859820272916,-0.501495805723723,-1.263691815337,0.29099757728717,-0.401499267294161,-4.50091784232518,0.0495539167420114,0.0707796292670783,-0.0219790075541282,-0.00211108046454768,0.0497051142194034,219.32542871923,34.5227174545926,-8.61427731820186,9.69302020280338,228.291039130681
11,1.06225660056322,NA,-0.452072142987927,-1.19400579658938,0.260235742939754,-0.390802448564441,-4.45131327551926,0.0494236627357967,0.0696860187476154,-0.0307618343474158,0.0106968187297203,0.0496045668059168,215.650086288406,32.0964613752039,-8.18875119989571,10.3557833017476,225.188085830723
