"iter","ll_batch","ll_full","dens_0","conn_0","conn_X1","conn_X2","g0_1"
1,-1025.36100943733,-973.22853431736,-0.980000000000833,-1.9700000000054,0.0299999999735131,-0.0299999999743237,-4.98000000000082
2,-1008.18878777692,NA,-0.960001261789044,-1.94000692530274,0.058593506246444,-0.0594680362491191,-4.96000048212872
3,-995.122028449972,NA,-0.940004702921734,-1.91002670230333,0.0877974436457046,-0.0873519153316138,-4.94000209751568
4,-976.297007174743,NA,-0.920011300531824,-1.88006507639483,0.115184452770968,-0.115720594771103,-4.92000552685577
5,-962.389054366818,NA,-0.900022092758151,-1.85013826134959,0.143426342935201,-0.144377697803883,-4.90000839271134
6,-958.336176064571,NA,-0.880038180840351,-1.82025486940714,0.170938713206909,-0.172365104684849,-4.88001410715612
7,-951.680941742343,NA,-0.860060730316996,-1.79042737329454,0.194990508184944,-0.200297731441621,-4.86002314672945
8,-928.918639821373,NA,-0.840090972179867,-1.76066346726794,0.21593891782903,-0.227101337772253,-4.84003772380829
9,-924.673939822594,NA,-0.820130204424075,-1.73096114154959,0.234552322518953,-0.248993865965241,-4.82006329001277
10,-910.512190659037,-870.650970237985,-0.800179793544307,-1.70137788862638,0.252454862503943,-0.270788675721256,-4.80008856948584
11,-900.205062323987,NA,-0.78024117705611,-1.67194575133549,0.270438877121263,-0.292741492507092,-4.78011126526371
12,-891.70342514167,NA,-0.760315865135089,-1.6426340053467,0.282148087099125,-0.312651481378652,-4.76014674291414
13,-875.935146636289,NA,-0.740405441276674,-1.61344819837119,0.291754964926945,-0.328380003510098,-4.7401939572589
14,-876.178142691364,NA,-0.720511566121967,-1.58440022335069,0.298053394454134,-0.339490436826422,-4.72025731006143
15,-861.454374807913,NA,-0.700635980475306,-1.55548836838343,0.298438297130398,-0.347779280660104,-4.70033712115877
16,-866.029706195032,NA,-0.680780509124901,-1.52675298842192,0.296531708450789,-0.353194827591164,-4.68043027021468
17,-843.62709384218,NA,-0.660947064769584,-1.49820015008367,0.291027757110432,-0.356254470198193,-4.66054167335373
18,-831.250841907787,NA,-0.641137651751075,-1.46982675882987,0.283368939137698,-0.355498729907937,-4.64067334820816
19,-818.216391897892,NA,-0.621354372312815,-1.4416529950101,0.271973391929924,-0.353731842690269,-4.62082352104446
20,-813.476106199182,-766.302899210821,-0.601599428998159,-1.41366202919101,0.258566791592201,-0.349881364491338,-4.60099660210979
21,-800.105223617955,NA,-0.581875130716196,-1.38584878303352,0.244232324704793,-0.342909925890233,-4.5811971386006
22,-784.141003993923,NA,-0.562183899621511,-1.35824936417119,0.228096862974239,-0.335541934588371,-4.56142175602909
23,-784.291964927789,NA,-0.542528270763166,-1.3308370536509,0.210395116947374,-0.325104791684167,-4.54167866859689
24,-774.475788116733,NA,-0.522910903869809,-1.30361232001038,0.193260905758943,-0.312013116143722,-4.5219706357712
25,-761.196484940849,NA,-0.503334587027856,-1.27663729645714,0.176072535605082,-0.298910950780803,-4.5022934287946
26,-753.825727165159,NA,-0.483802232011956,-1.24991167381317,0.159831437763671,-0.285024864088741,-4.48265299039991
27,-739.500286635097,NA,-0.464316879855388,-1.2234439910383,0.142638839127086,-0.271447408949897,-4.46305058803146
28,-743.568265691913,NA,-0.444881701783857,-1.19728444397456,0.129634588179366,-0.258489691400127,-4.44348502843989
29,-723.502270625636,NA,-0.425499995860028,-1.17140932525045,0.119062997597995,-0.245330119312424,-4.42396462411015
30,-714.583679948651,-670.298022487111,-0.406175196241551,-1.14589790294324,0.111563905057651,-0.234864790643816,-4.40448681166165
