"iter","ll_batch","ll_full","dens_0","conn_0","conn_X1","conn_X2","g0_1"
1,-1114.22046540386,-973.228534317801,-0.980000000000833,-1.97000000000542,0.0299999999288174,-0.029999999976227,-4.98000000000082
2,-1097.86037270477,NA,-0.960001261789047,-1.940006380416,0.0565399748070357,-0.0594843799738806,-4.96000051497045
3,-1081.4860270905,NA,-0.940004702809236,-1.91002762861322,0.0845034333190364,-0.0839793560121767,-4.94000272152338
4,-1083.0698850358,NA,-0.920011300108747,-1.88006960474276,0.113287522205949,-0.108944072517541,-4.92000547322626
5,-1063.85764007536,NA,-0.900022091914492,-1.85013275482968,0.137435078585111,-0.132903513469639,-4.90001408896618
6,-1057.84546414775,NA,-0.880038178575778,-1.82021580408033,0.156762191484998,-0.145524179623156,-4.88003254776906
7,-1059.46370989172,NA,-0.86006072399331,-1.79034881952372,0.167230899021544,-0.164233679796114,-4.86005104092921
8,-1025.32925056455,NA,-0.840090957775526,-1.76055626704607,0.176765494089939,-0.182275816969584,-4.84007218246288
9,-1005.47231792403,NA,-0.820130177797734,-1.73084374025178,0.184364178629832,-0.202521923846481,-4.82009481262781
10,-1016.1148361883,-870.703800000771,-0.800179752014956,-1.70121662728014,0.193014532637927,-0.223815732910781,-4.80011832282853
11,-996.080070285743,NA,-0.780241120672654,-1.67167322191482,0.194783801608045,-0.246334800627589,-4.78015146754582
12,-985.301364590511,NA,-0.76031579654733,-1.6422310875369,0.201973907688457,-0.263661979009026,-4.76019015815951
13,-978.259651567452,NA,-0.740405370037777,-1.6128549028388,0.20443906648764,-0.277698740764861,-4.74024948693
14,-952.667190077046,NA,-0.720511510142867,-1.58372753086859,0.207732525915185,-0.29601531194344,-4.72029713518769
15,-951.22200597124,NA,-0.700635963662677,-1.5547653245302,0.208993870656849,-0.31537145993029,-4.70035323750214
16,-927.448750676666,NA,-0.680780557808689,-1.52594715833946,0.211222443471728,-0.330342026185988,-4.68042900987706
17,-925.409121457473,NA,-0.660947206891112,-1.4973783384107,0.217024378240781,-0.346079396404021,-4.66050447891847
18,-918.622077307851,NA,-0.641137910855765,-1.46901909878063,0.2220395916037,-0.360597877687334,-4.64059602272024
19,-902.491270062461,NA,-0.621354759037232,-1.44074653206322,0.225008683951452,-0.367501503313049,-4.62072698146825
20,-917.502921331832,-766.323966607967,-0.601599945552372,-1.41286326578279,0.22288216632472,-0.380000968730535,-4.60085545553251
21,-901.698219218289,NA,-0.581875746802343,-1.38517862536083,0.215842850461208,-0.390542055887104,-4.58101911217768
22,-870.653588833618,NA,-0.562184539868437,-1.35765734262416,0.208178112235914,-0.395775021861338,-4.56122142375068
23,-872.71813646743,NA,-0.542528818646227,-1.33040631812359,0.198603950401136,-0.400796240824294,-4.54144776540471
24,-870.517969431086,NA,-0.522911183469704,-1.30333318810483,0.191138876221382,-0.402412791305265,-4.52170772888498
25,-849.631635763069,NA,-0.503334360660027,-1.27646178626755,0.179468669109865,-0.401987120520206,-4.50200793811964
26,-850.909741735021,NA,-0.483801201442394,-1.24987238453867,0.170418708490218,-0.399047035974219,-4.48234825164143
