"par","init","optim","distance","alpha","max_step","n_capped","grad_mean_tail","grad_sd_tail","sign_agree_tail","snr_tail"
"dens_0",-1,-1.4504907089924,0.450490708992402,0.02,0.05,0,-0.00404060721166388,0.00491958171232175,0.72,0.821331456197514
"conn_0",-2,0.557909741206724,2.55790974120672,0.03,0.1,0,0.0266277964215078,0.00458572657080352,1,5.8066690218824
"conn_agri",0.0188409154176318,0.361221952154086,0.342381036736454,0.03,0.05,0,-0.00260783316434754,0.000421295573545736,1,6.19003219615939
"conn_wtr",-1.00416938414137,-6.41085579909471,5.40668641495334,0.03,0.05,0,-0.277278370344902,0.0363187437439449,1,7.6345804331718
"g0_1",-5,-1.79122987243203,3.20877012756797,0.02,0.05,0,-0.124133435440399,0.0172841899149585,1,7.18190647355527
