"block","dens_0","conn_0","conn_agri","conn_wtr","g0_1"
"1-50",0.744527711481337,0.990646437370954,0.437903784578111,0.950244770833769,0.88319193091244
"51-150",0.544476269471629,0.264829004209549,0.173629641754103,0.616732548244377,0.636818352416147
"151-300",0.146517811069807,0.162707331566466,0.102917880238852,0.480507932710227,0.222182140044907
"301-450",0.28686181820253,0.162904419965956,0.130365470996633,0.558207113729648,0.463675244091731
"451-",0.000428614215496348,0.00185926338272769,0.000452493483968958,0.0673432734724329,0.00117011906349806
